brca_metabric:MB-7273	TP53,COL22A1,DNAH11,TAF1,USH2A
brca_metabric:MB-7283	TP53,ZFP36L1,CCND3,CDH1,NF1,PIK3CA
brca_metabric:MB-7295	AFF2,MAP3K1,CTCF,PIK3CA
brca_mbcproject_2022:MBC-MBCProject_2ViLiZS8-Tumor-SM-DL3Z6	URB1,DOCK5,OCA2,CCDC17,SLC9C1,SELE,GABRB3,RESF1,DEK,SLC34A2,CDH10,PIK3CA,DYRK1B,RCOR3,DSCAML1,CARS1,PLEKHH3,CDH1,ALPK2,SLC25A19,DHX58,DNMBP,DGCR2,NIPSNAP3A,COL12A1,ZNF99,GABPB1,DIXDC1,CEP295NL,RPL10L,ZNF467
brca_mbcproject_wagle_2017:MBC-MBCProject_2ViLiZS8-Tumor-SM-DL3Z6	URB1,OCA2,OCRL,SELE,GABRB3,DEK,SLC34A2,CDH10,PIK3CA,DYRK1B,RCOR3,FASN,PLEKHH3,CDH1,SLC25A19,DGCR2,COL12A1,PTEN,ZNF99,TMTC3,CEP295NL,RPL10L,ZNF467
brca_mbcproject_2022:MBC-MBCProject_3MUnT7Ty-Tumor-SM-CGLLE	WDR6,OPN3,ITCH,IGHV4-28,TJP2,MICU2,ZFHX4,MRPS27,CUBN,ZNF540,DNMT1,PPP4R3B,ZNF589,ZNF664,WDR87,SLC45A1,KIF2C,SLC44A4,ZBTB41,FSTL1,G6PC1,CDC42,YTHDC2,C2ORF83,UBR1,ZC3H3,CHRNA10,LIG3,ACTN2,PRKCA,NSD3,OR4K13,FBXO30,PSME4,CDCP1,B3GNT6,OR6N2,UQCRC1,PTGER3,GSE1,KCP,ADAMTS16,BTBD9,STAG1,CEP95,RNF40,KMT5A,MICAL3,SMARCA5,GAB1,RNF111,CCNJL,SLC16A3,KCNMA1,FANCA,HMCN1,POPDC2,UTP6,NOD1,COL22A1,SHANK1,IGF2BP3,HPS1,TJP1,BIRC6,HERC6,ARFGEF3,MUCL3,PLCG1,POLN,PTPRD,DYNC2H1,UGT2B11,WNT8A,CDH1,ALG10B,EXOSC8,RNF5,DSC3,PRIMPOL,SUZ12,FHIP2B,TMCC2,BORCS7-ASMT,SCN5A,CLEC4F,FAM184B,ANO3,RMI1,FAM111A,SLC4A4,RAVER2,SLC35B3,SLC13A2,THBS1,KRT10,PCNP,ELOA,GRIP1,ATP5MF-PTCD1,CHP2,KIRREL3,DYNC1H1,TANC2,GRIA1,CAPN7,KRT34,KIF1B,ZNF302,TBX3,SNCB,ZNF341,SDK1,SLC34A3,EDC3,RCC1L,PNMT,OR2C1,TEX14,IGSF10,TEKT2,MAP3K21,CEMP1,TMPRSS11B,ADGRA2,AIG1,CDH10,PCDHA10,PIGH,GJB7,PIEZO1,OR5B12,POGZ,PLD3,MDN1,SYNE2,EGFLAM,VAMP5,CENPS-CORT,LDHAL6B,ZNF440,HSPA1L,TYR,PROK2
brca_mbcproject_wagle_2017:MBC-MBCProject_3MUnT7Ty-Tumor-SM-CGLLE	WDR6,PAGE1,GCNA,OPN3,ITCH,ALG8,TJP2,MICU2,ZFHX4,POTEM,MRPS27,CUBN,SUPT20H,DNMT1,PPP4R3B,ZNF664,NOTUM,WDR87,SLC45A1,KIF2C,SLC44A4,TCAP,EMILIN1,ART1,YTHDC2,UBR1,ZC3H3,ACTN2,PRKCA,NSD3,OR4K13,FN1,FBXO30,POTEF,ZNF418,PSME4,CDCP1,B3GNT6,PTGS1,OR6N2,UQCRC1,GSE1,ADAMTS16,BTBD9,STAG1,CEP95,RNF40,KMT5A,MICAL3,CTU2,SMARCA5,GAB1,RNF111,CCNJL,SLC16A3,KCNMA1,FANCA,HMCN1,POPDC2,NOD1,GCC2,IGF2BP3,HPS1,TJP1,BIRC6,HERC6,ARFGEF3,MUCL3,PLCG1,GPKOW,POLN,PTPRD,DYNC2H1,UGT2B11,WNT8A,CDH1,ALG10B,KALRN,DSC3,PRIMPOL,PIWIL2,SUZ12,FHIP2B,TMCC2,SCN5A,HUWE1,FAM184B,ANO3,RMI1,FAM111A,SLC4A4,RAVER2,SLC35B3,SLC13A2,THBS1,KRT10,PCNP,ELOA,BRSK1,GRIP1,ATP5MF-PTCD1,CHP2,KIRREL3,DYNC1H1,TANC2,GRIA1,CAPN7,CEP192,MPL,APOO,KIF1B,TTN,ZNF302,TBX3,SDK1,SLC34A3,EDC3,RCC1L,KCTD8,TEX14,IGSF10,MAP3K21,CEMP1,TMPRSS11B,ADGRA2,AIG1,CDH10,PIK3CA,PCDHA10,PIGH,ABCA13,GJB7,OR5B12,POGZ,SERINC2,MDN1,SYNE2,KLHL30,EGFLAM,VAMP5,CENPS-CORT,LDHAL6B,ADK,ZNF503,ZNF440,AGPAT2,HSPA1L,TYR,MIER1,PROK2
brca_mbcproject_wagle_2017:MBC-MBCProject_5vTpUpCv-Tumor-SM-GQA4H	DNAH1,DDI1,LTBP2,PIK3R4,ZBTB21,PIK3CA,ELMOD3,THBS3,ZMYM3,CDH1,COLEC11,CEP85L,ABCA2,NETO2,TTN,TRIM45,DNAI2,ABLIM2,IGF2R
brca_mbcproject_wagle_2017:MBC-MBCProject_7JtRIPI2-Tumor-SM-CGLXC	NHLRC1,ENKUR,PIWIL1,ADAMTS12,NINL,CMYA5,MARF1,PDK2,ZYX,IRS4,ADSL,MARVELD3,GTF2H3,SPTLC1,SERPINE2,PLEKHD1,HECW2,CRIP3,KMT2D,CTCFL,LGALS12,AHNAK,PXDN,KRT13,PFKL,CDH1,PRR12,UNC13A,BAZ2B,MAP2,ZNF420,AAMDC,CST2,RSPO4,EPB41L4A,POLR2D,PRKCG,APEX1,IL17F
brca_mbcproject_2022:MBC-MBCProject_7JtRIPI2-Tumor-SM-CGLXC	NHLRC1,ENKUR,PIWIL1,ADAMTS12,CMYA5,ACAP2,RNF6,MARF1,PDK2,ZYX,MUC5B,SPTLC1,EDAR,ABCC6,SERPINE2,PLEKHD1,HECW2,CRIP3,KMT2D,CTCFL,PKD1,LGALS12,GRIP1,AHNAK,PXDN,KRT13,PFKL,CDC42BPG,ZNF850,CDH1,PRR12,UNC13A,PIAS1,BAZ2B,MAP2,ZNF420,COIL,AAMDC,CST2,FAM136A,RSPO4,GSE1,TRMU,FBXO16,EPB41L4A,POLR2D,FAR1,PCDHGA11,PRKCG,APEX1,IL17F
